anno,mese,prezzo,data
2016,1,"0,985",2016-01-01
2016,2,"0,978",2016-02-01
2016,3,"0,981",2016-03-01
2016,4,"0,979",2016-04-01
2016,5,"0,977",2016-05-01
2016,6,"0,982",2016-06-01
2016,7,"0,982",2016-07-01
2016,8,"0,982",2016-08-01
2016,9,"0,981",2016-09-01
2016,10,"0,978",2016-10-01
2016,11,"0,976",2016-11-01
2016,12,"0,974",2016-12-01
2017,1,"0,972",2017-01-01
2017,2,"0,97",2017-02-01
2017,3,"0,973",2017-03-01
2017,4,"0,972",2017-04-01
2017,5,"0,97",2017-05-01
2017,6,"0,968",2017-06-01
2017,7,"0,965",2017-07-01
2017,8,"0,964",2017-08-01
2017,9,"0,961",2017-09-01
2017,10,"0,961",2017-10-01
2017,11,"0,961",2017-11-01
2017,12,"0,959",2017-12-01
2018,1,"0,961",2018-01-01
2018,2,"0,96",2018-02-01
2018,3,"0,962",2018-03-01
2018,4,"0,961",2018-04-01
2018,5,"0,961",2018-05-01
2018,6,"0,962",2018-06-01
2018,7,"0,963",2018-07-01
2018,8,"0,962",2018-08-01
2018,9,"0,967",2018-09-01
2018,10,"0,987",2018-10-01
2018,11,"0,993",2018-11-01
2018,12,"0,997",2018-12-01
2019,1,"1,0",2019-01-01
2019,2,"1,003",2019-02-01
2019,3,"1,002",2019-03-01
2019,4,"1,0",2019-04-01
2019,5,"1,002",2019-05-01
2019,6,"0,999",2019-06-01
2019,7,"0,995",2019-07-01
2019,8,"0,994",2019-08-01
2019,9,"0,991",2019-09-01
2019,10,"0,988",2019-10-01
2019,11,"0,987",2019-11-01
2019,12,"0,985",2019-12-01
2020,1,"0,984",2020-01-01
2020,2,"0,984",2020-02-01
2020,3,"0,981",2020-03-01
2020,4,"0,979",2020-04-01
2020,5,"0,978",2020-05-01
2020,6,"0,977",2020-06-01
2020,7,"0,974",2020-07-01
2020,8,"0,974",2020-08-01
2020,9,"0,975",2020-09-01
2020,10,"0,973",2020-10-01
2020,11,"0,814",2020-11-01
2020,12,"0,621",2020-12-01
2021,1,"0,92",2021-01-01
2021,2,"0,95",2021-02-01
2021,3,"0,98",2021-03-01
2021,4,"1,0",2021-04-01
2021,5,"1,05",2021-05-01
2021,6,"1,1",2021-06-01
2021,7,"1,15",2021-07-01
2021,8,"1,25",2021-08-01
2021,9,"1,4",2021-09-01
2021,10,"1,6",2021-10-01
2021,11,"1,75",2021-11-01
2021,12,"1,85",2021-12-01
2022,1,"1,95",2022-01-01
2022,2,"2,0",2022-02-01
2022,3,"2,2",2022-03-01
2022,4,"2,3",2022-04-01
2022,5,"2,1",2022-05-01
2022,6,"1,95",2022-06-01
2022,7,"2,3",2022-07-01
2022,8,"2,6",2022-08-01
2022,9,"3,0",2022-09-01
2022,10,"2,8",2022-10-01
2022,11,"2,3",2022-11-01
2022,12,"2,4",2022-12-01
2023,1,"2,3",2023-01-01
2023,2,"2,1",2023-02-01
2023,3,"1,9",2023-03-01
2023,4,"1,7",2023-04-01
2023,5,"1,6",2023-05-01
2023,6,"1,5",2023-06-01
2023,7,"1,45",2023-07-01
2023,8,"1,4",2023-08-01
2023,9,"1,35",2023-09-01
2023,10,"1,3",2023-10-01
2023,11,"1,25",2023-11-01
2023,12,"1,2",2023-12-01
2024,1,"1,25",2024-01-01
2024,2,"1,27",2024-02-01
2024,3,"1,29",2024-03-01
2024,4,"1,31",2024-04-01
2024,5,"1,33",2024-05-01
2024,6,"1,35",2024-06-01
2024,7,"1,37",2024-07-01
2024,8,"1,39",2024-08-01
2024,9,"1,41",2024-09-01
2024,10,"1,43",2024-10-01
2024,11,"1,45",2024-11-01
2024,12,"1,47",2024-12-01
2025,1,"1,48",2025-01-01
2025,2,"1,465",2025-02-01
2025,3,"1,45",2025-03-01
2025,4,"1,435",2025-04-01
2025,5,"1,42",2025-05-01
2025,6,"1,405",2025-06-01
2025,7,"1,39",2025-07-01
2025,8,"1,375",2025-08-01
2025,9,"1,36",2025-09-01
2025,10,"1,345",2025-10-01
2025,11,"1,33",2025-11-01
2025,12,"1,315",2025-12-01
2026,1,"1,34",2026-01-01
2026,2,"1,36",2026-02-01
2026,3,"1,38",2026-03-01
2026,4,"1,4",2026-04-01
2026,5,"1,42",2026-05-01
2026,6,"1,44",2026-06-01
2026,7,"1,46",2026-07-01
2026,8,"1,48",2026-08-01
2026,9,"1,5",2026-09-01
